,Source,Target,Submitted
0,2o0ngbg8,fhxap2,Submitted
1,tblkklw,f0p5nc,Submitted
2,14mosq,fbt49e,Submitted
3,14bafgnj,feupgd,Submitted
4,wo4fw,f30lyn,Submitted
5,2hzgz0aj,fgj1vo,Submitted
6,wxczw,fhi3ca,Submitted
7,2hzgz0aj,fch13v,Submitted
8,28akpexo,fxqh4r,Submitted
9,4pfhas7f,f535md,Submitted
10,5mmefeqh,fclyjq,Submitted
11,1toj5ey7,f85wxm,Submitted
12,5ibzy4k9,fqufpl,Submitted
13,523k1hjn,fu00ix,Submitted
14,20l6dhi9,eu8osj,Submitted
15,50m2ip2r,fmxga9,Submitted
16,hcs02,fqjphk,Submitted
17,5empx5z5,fkz25v,Submitted
18,3q2ty2qf,ftn5mg,Submitted
19,3h2jxek,f72iax,Submitted
20,nxm0k,ft19yf,Submitted
21,46phc0nb,fav189,Submitted
22,p0e6q,fsi8jn,Submitted
23,38tazes0,f8bzaq,Submitted
24,5jqe9tqm,fhedfn,Submitted
25,42omejle,fjb8vh,Submitted
26,5te3paf6,fiuorc,Submitted
27,hkf9chn,fx6b13,Submitted
28,4zo9v,fdid63,Submitted
29,ut8l5,f1kh2t,Submitted
30,3uhs5,exe552,Submitted
31,12nowv,fjw7cd,Submitted
32,tblkklw,eztbj0,Submitted
33,14gky1,fn9lim,Submitted
34,nc5hw,fni6w1,Submitted
35,5empx5z5,fonovl,Submitted
36,57wvvz80,fk4ire,Submitted
37,7t9s9,f395wl,Submitted
38,3no46zoj,fbp050,Submitted
39,62hyyija,fvgxbp,Submitted
40,7t9s9,ezemxd,Submitted
41,qklwz,fmnld5,Submitted
42,5r64uqcw,fhyayr,Submitted
43,u3xx1,frae3g,Submitted
44,zzhoo,fljsm4,Submitted
45,wo4fw,fffpuq,Submitted
46,cbqpq,f8mf9j,Submitted
47,5io4966o,f1wuim,Submitted
48,m6skm1t,ewx8a2,Submitted
49,gewld,euvexx,Submitted
50,zzhoo,fjjqwg,Submitted
51,5mmefeqh,fg03kr,Submitted
52,28akpexo,fu1p9v,Submitted
53,wxczw,fymbhl,Submitted
54,wxczw,g2d7mu,Submitted
55,wxczw,fud6xp,Submitted
56,hcs02,g3ncgt,Submitted
57,wxczw,frqkoy,Submitted
58,wxczw,fwmmd7,Submitted
59,4pfhas7f,f612j0,Submitted
60,hcs02,fl7xk5,Submitted
61,2hzgz0aj,fa2zgi,Submitted
62,5mmefeqh,fa6is3,Submitted
63,wxczw,fwsg75,Submitted
64,5r64uqcw,fv2cur,Submitted
65,wxczw,fgw08x,Submitted
66,3q2ty2qf,fux2q8,Submitted
67,2hzgz0aj,f9vf5z,Submitted
68,12wrug,f3v1ee,Submitted
69,5empx5z5,fkno2s,Submitted
70,20l6dhi9,euog5g,Submitted
71,hcs02,fqemhm,Submitted
72,5empx5z5,fnnfgg,Submitted
73,7t9s9,ewurpu,Submitted
74,hcs02,g4lx57,Submitted
75,wxczw,g29jqq,Submitted
76,wxczw,g1z9u0,Submitted
77,hcs02,g33z2w,Submitted
78,12wrug,f7cql4,Submitted
79,wo4fw,eui4aj,Submitted
80,5mmefeqh,fp087q,Submitted
81,hcs02,fm9ypx,Submitted
82,zzhoo,fj0uyp,Submitted
83,wxczw,fvypds,Submitted
84,wo4fw,f7ww1d,Submitted
85,5empx5z5,fih70s,Submitted
86,14mosq,fri3aq,Submitted
87,wxczw,g2zez2,Submitted
88,wxczw,g4qtcy,Submitted
89,wxczw,fxr5kv,Submitted
90,4pfhas7f,f7hr6u,Submitted
91,wxczw,fecerp,Submitted
92,wxczw,fzh9f2,Submitted
93,5empx5z5,fkauqy,Submitted
94,3q2ty2qf,fvhsgv,Submitted
95,523k1hjn,fr0xqw,Submitted
96,4pfhas7f,ezto0a,Submitted
97,5empx5z5,fr7klz,Submitted
98,wxczw,fdxrst,Submitted
99,u3xx1,foacbc,Submitted
100,2hzgz0aj,fawbww,Submitted
101,2hzgz0aj,f9kez0,Submitted
102,wxczw,g2n8e0,Submitted
103,50ujok4z,eyo2mz,Submitted
104,7t9s9,f4c5uh,Submitted
105,4pfhas7f,f00nw3,Submitted
106,wxczw,g4wjfs,Submitted
107,u3xx1,foryen,Submitted
108,wo4fw,f7l20j,Submitted
109,7t9s9,f20uue,Submitted
110,50ujok4z,f6ucdl,Submitted
111,12wrug,f1lkyq,Submitted
112,5empx5z5,fjlxjm,Submitted
113,wxczw,fdtn35,Submitted
114,4pfhas7f,f0cv4i,Submitted
115,4pfhas7f,ezvnfd,Submitted
116,wxczw,fqrpd0,Submitted
117,wxczw,fj3yc8,Submitted
118,p4o5y,ftk8pd,Submitted
119,wo4fw,fkt5wt,Submitted
120,wxczw,fvk05k,Submitted
121,hcs02,g3lo10,Submitted
122,tblkklw,fgctg2,Submitted
123,wxczw,fltay9,Submitted
124,4pfhas7f,euz8x7,Submitted
125,5mmefeqh,fcocmg,Submitted
126,50ujok4z,ezya1w,Submitted
127,wxczw,g31zrh,Submitted
128,tblkklw,fwbzxi,Submitted
129,hcs02,fngho1,Submitted
130,wo4fw,f2hlpf,Submitted
131,523k1hjn,frijll,Submitted
132,2hzgz0aj,fel2qg,Submitted
133,3q2ty2qf,fszi63,Submitted
134,2hzgz0aj,fe525z,Submitted
135,hcs02,fmvfd2,Submitted
136,28akpexo,fus1ag,Submitted
137,hcs02,fkg3fu,Submitted
138,wxczw,fhe1ya,Submitted
139,hcs02,fktlwp,Submitted
140,wo4fw,fmic2w,Submitted
141,wxczw,g512ra,Submitted
142,hcs02,fmho5s,Submitted
143,wxczw,ffcz47,Submitted
144,wxczw,ftd8yw,Submitted
145,12wrug,f0i881,Submitted
146,1toj5ey7,fk0tnz,Submitted
147,wo4fw,fj4n7d,Submitted
148,wxczw,fvylyt,Submitted
149,zzhoo,fcir88,Submitted
150,5empx5z5,fjj4c4,Submitted
151,u3xx1,fh3gvj,Submitted
152,4pfhas7f,f12i3t,Submitted
153,4lzlbr12,ewltqp,Submitted
154,wxczw,fgbxzo,Submitted
155,wxczw,frosg7,Submitted
156,wo4fw,f0yq80,Submitted
157,wxczw,fzc333,Submitted
158,7t9s9,ezj2a7,Submitted
159,2hzgz0aj,f9vqdw,Submitted
160,wo4fw,f2hlaa,Submitted
161,u3xx1,fubrsm,Submitted
162,hcs02,fhzjgc,Submitted
163,5empx5z5,fkv28l,Submitted
164,5mmefeqh,fczgzf,Submitted
165,wxczw,g2d3md,Submitted
166,7t9s9,ewgupm,Submitted
167,hcs02,g26ypi,Submitted
168,5mmefeqh,fiy365,Submitted
169,7t9s9,evus1w,Submitted
170,5shp272q,fauoqh,Submitted
171,u3xx1,fql0cv,Submitted
172,hcs02,fijf3m,Submitted
173,12wrug,f99bjs,Submitted
174,zzhoo,fgtb3m,Submitted
175,p4o5y,frnjwl,Submitted
176,5mmefeqh,fc55de,Submitted
177,wxczw,fqmhk3,Submitted
178,3q2ty2qf,fug4ew,Submitted
179,u3xx1,faldpa,Submitted
180,5empx5z5,fo2lpx,Submitted
181,12wrug,f38icu,Submitted
182,5mmefeqh,fbiltc,Submitted
183,ut8l5,ffis2o,Submitted
184,wxczw,g0effk,Submitted
185,7t9s9,f1p8gg,Submitted
186,7t9s9,eyitks,Submitted
187,7t9s9,evxm0q,Submitted
188,12wrug,f39u3f,Submitted
189,4pfhas7f,f4dcnt,Submitted
190,wxczw,fz0mrf,Submitted
191,4pfhas7f,f13vr2,Submitted
192,zzhoo,fj4qgd,Submitted
193,wxczw,fxzbe6,Submitted
194,7t9s9,f2qsc1,Submitted
195,12wrug,f7a44e,Submitted
196,hcs02,fpymdb,Submitted
197,p4o5y,fr5h4b,Submitted
198,5mmefeqh,f7ko9r,Submitted
199,p4o5y,fq4lh3,Submitted
200,5d1owwm3,f0ue4j,Submitted
201,7t9s9,ewuq80,Submitted
202,u3xx1,fq25bj,Submitted
203,5empx5z5,fk7elx,Submitted
204,5empx5z5,fl7s49,Submitted
205,7t9s9,eyj20s,Submitted
206,tblkklw,fgep9b,Submitted
207,12wrug,f3j8eq,Submitted
208,wo4fw,f4yr2q,Submitted
209,wo4fw,f2g5ax,Submitted
210,wo4fw,fjofya,Submitted
211,wxczw,fedbv8,Submitted
212,ut8l5,fdec58,Submitted
213,wxczw,fshi0j,Submitted
214,3nelaphm,f11hcf,Submitted
215,u3xx1,frvvgm,Submitted
216,zzhoo,fwomze,Submitted
217,wxczw,g33x8o,Submitted
218,14mosq,fgm9f6,Submitted
219,3q2ty2qf,fw2anq,Submitted
220,4pfhas7f,f6evxn,Submitted
221,4pfhas7f,f5eeuf,Submitted
222,50ujok4z,fa62bl,Submitted
223,zzhoo,fm439a,Submitted
224,wxczw,fym5vh,Submitted
225,wo4fw,f1g5wp,Submitted
226,4pfhas7f,f7cpfu,Submitted
227,28akpexo,fv7tyx,Submitted
228,wo4fw,f7jgbt,Submitted
229,5mmefeqh,fhg5s7,Submitted
230,523k1hjn,fxedve,Submitted
231,wxczw,fzf709,Submitted
232,14mosq,flextu,Submitted
233,5mmefeqh,fawgrf,Submitted
234,wo4fw,f73ozt,Submitted
235,u3xx1,fad20v,Submitted
236,wxczw,g0385h,Submitted
237,wo4fw,fhs0yc,Submitted
238,5mmefeqh,fa3dep,Submitted
239,50ujok4z,f07i66,Submitted
240,12wrug,f4p91i,Submitted
241,zzhoo,ffdcf5,Submitted
242,7t9s9,eypk7f,Submitted
243,12wrug,f33cah,Submitted
244,50ujok4z,ezqj8x,Submitted
245,hcs02,flnwt4,Submitted
246,wo4fw,fey0n4,Submitted
247,5mmefeqh,fc11bo,Submitted
